City,Date,hail,thunder,tornado,meantempm,meantempi,meandewptm,meandewpti,meanpressurem,meanpressurei,meanwindspdm,meanwindspdi,meanwdire,meanwdird,meanvism,meanvisi,humidity,fog,maxtempm,maxtempi,mintempm,mintempi,maxhumidity,minhumidity,maxdewptm,maxdewpti,mindewptm,mindewpti,rain,maxpressurem,maxpressurei,minpressurem,minpressurei,maxwspdm,maxwspdi,minwspdm,minwspdi,maxvism,maxvisi,snow,minvism,minvisi,gdegreedays,heatingdegreedays,coolingdegreedays,precipm,precipi
EDAC,1/14/2016,0,0,0,3,37,-1,30,1009.71,29.82,13,8,SSW,193,10,6.2,75,0,5,41,1,33,93,65,0,32,-2,28,0,1013,29.92,1006,29.71,22,14,9,6,10,6.2,0,10,6.2,0,28,0,0,0
EDAC,1/15/2016,0,0,0,1,34,0,32,1005.52,29.7,7,5,SW,215,9.6,5.9,92,0,2,35,0,32,100,87,1,34,-1,30,0,1008,29.77,1004,29.65,13,8,2,1,10,6.2,1,8,5,0,32,0,0,0
EDAC,1/16/2016,0,0,0,0,32,-2,28,1018.12,30.07,8,5,SSW,205,9.2,5.7,85,0,1,33,-1,30,93,75,-1,30,-3,27,0,1019,30.09,1017,30.04,17,10,6,4,10,6.2,1,1.5,0.9,0,34,0,0,0
EDAC,1/17/2016,0,0,0,-2,27,-3,27,1020.47,30.13,9,6,NW,323,6.6,4.1,94,0,-2,28,-3,26,100,86,-2,28,-5,23,0,1022,30.18,1019,30.09,15,9,7,5,10,6.2,1,2.5,1.6,0,38,0,0,0
EDAC,1/18/2016,0,0,0,-5,22,-6,21,1021.46,30.16,7,4,SSW,205,9.3,5.8,88,1,-2,28,-8,17,100,69,-3,27,-9,16,0,1025,30.27,1018,30.06,13,8,2,1,10,6.2,1,4,2.5,0,42,0,0,0
EDAC,1/19/2016,0,0,0,-8,16,-11,12,1016.05,30.01,6,4,South,188,,,75,0,-4,24,-13,8,86,68,-9,16,-15,5,0,1017,30.04,1015,29.98,13,8,2,1,,,0,,,0,49,0,0,0
EDAC,1/20/2016,0,0,0,-2,28,-4,25,1014.54,29.97,17,11,WSW,252,7.6,4.7,90,0,0,32,-5,23,100,80,-1,30,-8,18,0,1019,30.09,1012,29.89,24,15,9,6,10,6.2,1,2.1,1.3,0,38,0,0,0
EDAC,1/21/2016,0,0,0,-4,24,-7,19,1027.75,30.35,5,3,East,83,10,6.2,80,0,-2,28,-8,17,93,69,-5,23,-10,14,0,1029,30.39,1026,30.3,9,6,2,1,10,6.2,0,10,6.2,0,40,0,0,0
EDAC,1/22/2016,0,0,0,-8,16,-12,11,1030.6,30.44,5,3,SSE,165,,,69,0,-2,28,-15,5,85,55,-10,14,-17,1,0,1032,30.48,1029,30.39,9,6,2,1,,,0,,,0,48,0,0,0
EDAC,1/23/2016,0,0,0,2,36,2,36,1027.88,30.36,15,9,WSW,255,8.8,5.4,96,0,4,39,0,32,100,87,3,37,0,32,0,1031,30.45,1025,30.27,26,16,9,6,10,6.2,1,6,3.7,0,30,0,0,0
EDAC,1/24/2016,0,0,0,4,38,2,35,1031.29,30.46,10,6,South,191,,,84,0,5,41,2,35,93,81,2,36,1,34,0,1033,30.51,1030,30.42,15,9,7,5,,,0,,,0,27,0,0,0
EDAC,1/25/2016,0,0,0,8,46,8,46,1026.52,30.32,8,5,SSW,200,10,6.2,98,0,10,50,6,42,100,93,9,48,6,43,1,1027,30.33,1026,30.3,17,10,4,2,10,6.2,0,9,5.6,0,19,0,0,0
EDAC,1/26/2016,0,0,0,10,48,6,44,1023.5,30.23,13,8,SSW,201,10,6.2,81,0,12,53,7,44,87,76,8,46,5,41,0,1025,30.27,1021,30.15,26,16,7,5,10,6.2,0,10,6.2,0,16,0,0,0
EDAC,1/27/2016,0,0,0,10,50,5,40,1015.44,29.99,27,17,SW,221,10,6.2,68,0,12,53,8,46,82,54,6,43,3,37,1,1018,30.06,1012,29.89,43,26,20,13,10,6.2,0,10,6.2,0,16,0,0,0
EDAC,1/28/2016,0,0,0,8,46,3,37,1022.05,30.18,18,11,West,277,10,6.2,71,0,11,51,5,41,87,57,7,45,-1,30,1,1026,30.3,1016,30.01,28,17,7,5,10,6.2,0,10,6.2,0,19,0,0,0
EDAC,1/29/2016,0,0,0,6,42,1,33,1023.95,30.24,21,13,SW,217,,,67,0,9,48,2,35,87,57,1,34,0,32,0,1025,30.27,1023,30.21,35,22,13,8,,,0,,,0,24,0,0,0
EDAC,1/30/2016,0,0,0,7,44,3,38,1010.77,29.85,31,19,SW,222,10,6.2,75,0,9,48,5,41,87,66,4,39,2,36,1,1020,30.12,1004,29.65,48,30,11,7,10,6.2,0,10,6.2,0,20,0,0,0
EDAC,1/31/2016,0,0,0,4,38,0,32,1010.41,29.84,20,12,WSW,242,10,6.2,73,0,6,42,2,35,81,66,1,34,-1,30,0,1011,29.86,1010,29.83,28,17,17,10,10,6.2,0,10,6.2,0,26,0,0,0
EDAC,2/1/2016,0,0,0,10,50,9,48,1013.95,29.95,13,8,SW,224,7.5,4.6,91,1,13,55,7,44,100,77,11,52,7,45,1,1015,29.98,1013,29.92,33,21,4,2,10,6.2,0,1.2,0.7,0,16,0,0,0
EDAC,2/2/2016,0,0,0,10,48,7,45,1011.73,29.88,24,15,SW,233,10,6.2,79,0,12,53,7,44,100,72,8,46,5,41,1,1015,29.98,1009,29.8,35,22,17,10,10,6.2,0,9,5.6,0,16,0,0,0
EDAC,2/3/2016,0,0,0,,,,,,,,,Variable,-1,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,0
EDAC,2/4/2016,0,0,0,4,38,1,33,1019.04,30.09,26,16,WSW,252,10,6.2,83,0,5,41,2,35,93,70,1,34,0,32,1,1022,30.18,1017,30.04,37,23,15,9,10,6.2,0,10,6.2,0,27,0,0,0
EDAC,2/5/2016,0,0,0,4,38,2,35,1024.67,30.26,14,9,SW,219,10,6.2,84,0,6,42,2,35,93,76,4,39,1,34,1,1026,30.3,1023,30.21,24,15,11,7,10,6.2,0,10,6.2,0,26,0,0,0
EDAC,2/6/2016,0,0,0,8,46,4,39,1015,29.98,14,9,SSW,199,,,69,0,11,51,6,42,81,66,5,41,3,37,0,1018,30.06,1012,29.89,26,16,6,4,,,0,,,0,18,0,0,0
EDAC,2/7/2016,0,0,0,6,43,3,38,1003.47,29.63,6,4,SSW,198,,,70,0,11,51,2,35,87,62,5,41,0,32,0,1005,29.68,1002,29.59,9,6,2,1,,,0,,,0,22,0,0,0
EDAC,2/8/2016,0,0,0,10,48,3,38,997.6,29.46,30,18,SSW,208,10,6.2,67,0,12,53,7,44,76,58,5,41,1,34,1,1001,29.56,995,29.39,46,29,26,16,10,6.2,0,10,6.2,0,16,0,0,0
EDAC,2/9/2016,0,0,0,8,46,3,38,993.8,29.35,24,15,SSW,194,10,6.2,72,0,10,50,6,42,76,66,5,41,2,36,1,1000,29.53,986,29.12,43,26,18,12,10,6.2,0,10,6.2,0,19,0,0,0
EDAC,2/10/2016,0,0,0,4,40,0,33,992.5,29.32,26,16,SW,233,10,6.2,76,0,6,42,3,37,87,61,2,36,-1,30,1,996,29.42,987,29.15,44,28,15,9,10,6.2,0,10,6.2,0,26,0,0,0
EDAC,2/11/2016,0,0,0,5,40,0,32,1003.05,29.62,17,11,WSW,252,10,6.2,72,0,7,44,3,37,87,57,2,36,-1,30,1,1004,29.65,1002,29.59,30,18,11,7,10,6.2,0,10,6.2,0,24,0,0,0
EDAC,2/12/2016,0,0,0,4,38,0,31,1001.9,29.59,9,6,SSW,192,10,6.2,72,0,7,44,0,32,100,57,1,34,-2,28,0,1004,29.65,999,29.5,17,10,4,2,10,6.2,0,10,6.2,0,27,0,0,0
EDAC,2/13/2016,0,0,0,2,36,-2,29,993.5,29.34,4,2,SE,140,10,6.2,68,0,6,42,-1,30,93,57,-1,30,-2,28,0,996,29.42,991,29.27,7,5,2,1,10,6.2,0,10,6.2,0,29,0,0,0
EDAC,2/14/2016,0,0,0,8,45,4,40,987.53,29.17,11,7,SSW,199,10,6.2,79,0,9,48,6,42,87,71,6,43,4,39,0,990,29.24,985,29.09,18,12,7,5,10,6.2,0,10,6.2,0,20,0,0,0
EDAC,2/15/2016,0,0,0,2,36,2,35,1010.31,29.84,12,7,NNW,327,9.4,5.9,92,0,4,39,1,33,100,81,4,39,0,32,1,1025,30.27,997,29.44,30,18,2,1,10,6.2,0,5,3.1,0,29,0,0,0
EDAC,2/16/2016,0,0,0,-1,30,-4,24,1034.13,30.54,15,9,North,11,10,6.2,76,0,1,33,-3,26,93,64,-1,30,-6,21,0,1037,30.63,1026,30.3,30,18,4,2,10,6.2,0,10,6.2,0,36,0,0,0
EDAC,2/17/2016,0,0,0,0,31,-2,29,1019.67,30.11,9,6,ENE,73,7,4.3,91,0,0,32,-1,30,100,80,0,32,-3,27,0,1027,30.33,1015,29.98,17,10,2,1,10,6.2,1,1.6,1,0,34,0,0,0
EDAC,2/18/2016,0,0,0,4,40,0,32,1016.5,30.03,8,5,SW,215,10,6.2,70,0,7,44,2,35,87,61,1,34,-2,28,0,1017,30.04,1016,30.01,13,8,4,2,10,6.2,0,10,6.2,0,26,0,0,0
EDAC,2/19/2016,0,0,0,1,34,-2,28,1018.9,30.09,9,5,West,266,9.4,5.8,74,0,4,39,-2,28,100,56,0,32,-4,25,0,1020,30.12,1018,30.06,20,13,4,2,10,6.2,0,8,5,0,32,0,0,0
EDAC,2/20/2016,0,0,0,4,38,1,33,1012.88,29.92,25,16,SSW,212,10,6.2,80,0,4,39,3,37,93,70,2,36,-1,30,1,1016,30.01,1011,29.86,37,23,24,15,10,6.2,0,10,6.2,0,27,0,0,0
EDAC,2/21/2016,0,0,0,10,48,9,48,1009.35,29.81,17,10,WSW,244,9.7,6,94,0,11,51,8,46,100,87,11,52,7,45,1,1011,29.86,1007,29.74,32,20,9,6,10,6.2,0,8,5,0,16,0,0,0
EDAC,2/22/2016,0,0,0,11,52,6,43,1004.65,29.67,29,18,SW,236,10,6.2,73,0,12,53,7,44,93,67,7,45,5,41,1,1005,29.68,1004,29.65,43,26,9,6,10,6.2,0,10,6.2,2,14,0,0,0
EDAC,2/23/2016,0,0,0,3,37,2,35,1009.6,29.82,8,5,WSW,248,9.7,6,91,0,5,41,1,33,100,76,2,36,1,34,1,1010,29.83,1009,29.8,17,10,6,4,10,6.2,1,4,2.5,0,28,0,0,0
EDAC,2/24/2016,0,0,0,2,35,-1,30,1014.65,29.97,19,12,WSW,243,10,6.2,81,0,6,42,-2,28,100,53,1,34,-3,27,1,1016,30.01,1013,29.92,37,23,7,5,10,6.2,0,10,6.2,0,30,0,0,0
EDAC,2/25/2016,0,0,0,1,34,-2,29,1011.05,29.86,8,5,West,266,9.5,5.9,80,0,4,39,-2,28,100,65,0,32,-4,25,0,1012,29.89,1011,29.86,22,14,2,1,10,6.2,1,1.2,0.7,0,32,0,0,0
EDAC,2/26/2016,0,0,0,2,34,-3,26,1013.08,29.92,8,5,SW,226,10,6.2,70,0,4,39,-2,28,87,52,-2,28,-5,23,0,1014,29.95,1012,29.89,15,9,2,1,10,6.2,1,10,6.2,0,30,0,0,0
EDAC,2/27/2016,0,0,0,4,38,-4,25,1009.81,29.82,12,7,East,88,,,56,0,6,42,1,33,70,49,-3,27,-5,23,0,1011,29.86,1009,29.8,17,10,11,7,,,0,,,0,28,0,0,0
EDAC,2/28/2016,0,0,0,0,32,-1,30,1015.71,30,7,5,NE,34,7,4.4,79,0,4,39,-4,24,100,70,0,32,-4,25,0,1017,30.04,1015,29.98,20,13,2,1,8,5,0,5,3.1,0,34,0,0,0
EDAC,2/29/2016,0,0,0,0,32,-1,30,1018.1,30.06,17,10,NE,43,3,1.8,93,0,1,33,0,32,100,87,0,32,-2,28,0,1019,30.09,1018,30.06,22,14,17,10,6,3.7,1,1.5,0.9,0,32,0,0,0
EDAC,3/1/2016,0,0,0,0,32,-2,29,1016.48,30.02,14,9,West,269,7.8,4.8,92,0,2,35,-2,28,100,75,0,32,-3,27,1,1020,30.12,1009,29.8,24,15,9,6,10,6.2,1,2.8,1.7,0,34,0,0,0
EDAC,3/2/2016,0,0,0,4,39,1,35,1001.12,29.56,20,12,SSW,206,9.5,5.9,85,0,8,46,0,32,100,76,4,39,0,32,1,1009,29.8,997,29.44,35,22,7,5,10,6.2,0,4,2.5,0,26,0,0,0
EDAC,3/3/2016,0,0,0,4,40,0,31,1001.95,29.59,12,7,SW,224,10,6.2,70,0,6,42,3,37,87,57,1,34,-2,28,0,1003,29.62,1001,29.56,17,10,6,4,10,6.2,0,10,6.2,0,26,0,0,0
EDAC,3/4/2016,0,0,0,4,38,-1,30,1002.14,29.59,10,7,SSE,165,10,6.2,65,0,7,44,0,32,93,53,1,34,-2,28,0,1006,29.71,997,29.44,22,14,4,2,10,6.2,0,10,6.2,0,27,0,0,0
EDAC,3/5/2016,0,0,0,6,44,1,33,995.46,29.4,5,3,South,169,,,66,0,9,48,4,39,75,61,3,37,-2,28,0,997,29.44,994,29.36,11,7,2,1,,,0,,,0,22,0,0,0
EDAC,3/6/2016,0,0,0,5,40,1,34,998.41,29.48,14,8,West,271,10,6.2,74,0,6,42,4,39,87,66,2,36,0,32,0,999,29.5,997,29.44,20,13,7,5,10,6.2,0,10,6.2,0,24,0,0,0
EDAC,3/7/2016,0,0,0,4,40,0,32,1004.15,29.65,3,2,WSW,253,10,6.2,75,0,6,42,3,37,93,61,2,36,-2,28,1,1005,29.68,1004,29.65,7,5,2,1,10,6.2,0,10,6.2,0,26,0,0,0
EDAC,3/8/2016,0,0,0,2,36,1,33,1014.05,29.95,5,3,South,187,6.6,4.1,86,0,5,41,0,32,100,75,2,36,0,32,1,1015,29.98,1012,29.89,9,6,2,1,10,6.2,1,3,1.9,0,28,0,0,0
EDAC,3/9/2016,0,0,0,3,37,-2,29,1013.06,29.92,14,9,SE,129,9.4,5.8,75,0,8,46,-2,28,100,43,0,32,-4,25,0,1016,30.01,1010,29.83,28,17,7,5,10,6.2,0,6,3.7,0,28,0,0,0
EDAC,3/10/2016,0,0,0,4,38,2,36,1018.19,30.07,7,4,NNE,28,4.5,2.8,89,0,5,41,2,35,93,81,3,37,1,34,0,1020,30.12,1016,30.01,11,7,6,4,6,3.7,0,2,1.2,0,27,0,0,0
EDAC,3/11/2016,0,0,0,4,39,3,38,1026.76,30.32,9,5,North,350,3.4,2.1,97,0,5,41,3,37,100,87,4,39,3,37,0,1027,30.33,1026,30.3,17,10,6,4,6,3.7,0,1.5,0.9,0,26,0,0,0
EDAC,3/12/2016,0,0,0,2,36,2,36,1030,30.42,10,6,NE,37,7.5,4.6,97,0,3,37,2,35,100,87,3,37,1,34,1,1030,30.42,1030,30.42,15,9,9,6,10,6.2,0,3.5,2.2,0,29,0,0,0
EDAC,3/13/2016,0,0,0,2,34,0,33,1034.41,30.55,12,8,NNE,29,8.9,5.6,91,0,2,35,1,33,100,87,2,36,-1,30,0,1035,30.57,1034,30.54,18,12,9,6,10,6.2,0,8,5,0,31,0,0,0
EDAC,3/14/2016,0,0,0,2,36,-1,29,1032.95,30.51,7,5,NE,45,9.6,6,69,0,6,42,-1,30,100,57,1,34,-3,27,0,1035,30.57,1030,30.42,15,9,2,1,10,6.2,0,8,5,0,29,0,0,0
EDAC,3/15/2016,0,0,0,2,36,2,36,1024.67,30.26,10,6,NE,35,7.3,4.5,95,0,4,39,1,33,100,87,3,37,1,34,1,1025,30.27,1024,30.24,15,9,6,4,10,6.2,0,1.5,0.9,0,29,0,0,0
EDAC,3/16/2016,0,0,0,6,42,0,31,1030.35,30.43,18,11,ENE,65,9.8,6.1,74,0,9,48,1,33,93,50,1,34,-2,28,0,1031,30.45,1028,30.36,35,22,11,7,10,6.2,0,8,5,0,24,0,0,0
EDAC,3/17/2016,0,0,0,7,44,1,34,1026.86,30.33,7,4,NE,50,,,60,0,12,53,2,35,93,50,2,36,0,32,0,1029,30.39,1024,30.24,13,8,4,2,,,0,,,0,21,0,0,0
EDAC,3/18/2016,0,0,0,6,42,3,37,1017.95,30.06,11,7,NW,324,8.1,5,75,0,9,48,3,37,87,62,3,37,1,34,0,1019,30.09,1017,30.04,17,10,7,5,9,5.6,0,7,4.3,0,22,0,0,0
EDAC,3/19/2016,0,0,0,6,42,4,38,1019.53,30.11,7,5,NW,320,8.5,5.2,88,0,7,44,4,39,100,76,5,41,2,36,0,1020,30.12,1019,30.09,13,8,6,4,10,6.2,0,6,3.7,0,24,0,0,0
EDAC,3/20/2016,0,0,0,5,40,2,35,1015.95,30.01,17,11,West,263,10,6.2,76,0,6,42,4,39,81,70,2,36,1,34,0,1017,30.04,1015,29.98,26,16,15,9,10,6.2,0,10,6.2,0,24,0,0,0
EDAC,3/21/2016,0,0,0,8,45,4,38,1014.19,29.96,16,10,West,276,10,6.2,78,0,9,48,6,42,100,66,6,43,2,36,1,1015,29.98,1013,29.92,26,16,9,6,10,6.2,0,10,6.2,0,20,0,0,0
EDAC,3/22/2016,0,0,0,6,44,4,39,1010.65,29.85,13,8,West,272,9.8,6.1,87,0,8,46,5,41,100,76,5,41,3,37,1,1011,29.86,1010,29.83,20,13,4,2,10,6.2,0,8,5,0,22,0,0,0
EDAC,3/23/2016,0,0,0,4,40,3,38,1008.42,29.78,12,7,WNW,291,8.8,5.5,87,0,7,44,2,35,100,71,5,41,2,36,1,1010,29.83,1007,29.74,26,16,6,4,10,6.2,0,4.5,2.8,0,26,0,0,0
EDAC,3/24/2016,0,0,0,6,42,1,34,1013.55,29.94,7,5,NNW,330,9.4,5.8,74,0,8,46,3,37,100,57,3,37,0,32,0,1014,29.95,1013,29.92,15,9,2,1,10,6.2,0,7,4.3,0,24,0,0,0
EDAC,3/25/2016,0,0,0,8,45,5,42,1011.29,29.87,14,8,SW,224,9.3,5.8,86,0,9,48,6,42,100,71,7,45,4,39,1,1012,29.89,1011,29.86,20,13,11,7,10,6.2,0,7,4.3,0,20,0,0,0
EDAC,3/26/2016,0,0,0,10,48,5,41,1019.29,30.1,7,4,WSW,247,9.7,6,75,0,12,53,7,44,100,58,8,46,3,37,0,1020,30.12,1018,30.06,17,10,4,2,10,6.2,0,9,5.6,0,16,0,0,0
EDAC,3/27/2016,0,0,0,10,50,4,39,1010.85,29.86,15,9,WSW,238,10,6.2,59,0,14,57,7,44,71,51,6,43,2,36,0,1013,29.92,1009,29.8,30,18,7,5,10,6.2,0,10,6.2,0,14,0,0,0
EDAC,3/28/2016,0,0,0,12,52,4,39,1004.8,29.67,15,10,SSW,192,,,55,0,15,59,8,46,71,51,5,41,3,37,0,1009,29.8,1002,29.59,28,17,11,7,,,0,,,2,12,0,0,0
EDAC,3/29/2016,0,0,0,8,46,2,36,1008.05,29.77,23,15,WSW,244,10,6.2,66,0,11,51,5,41,87,47,4,39,0,32,1,1009,29.8,1006,29.71,39,24,18,12,10,6.2,0,10,6.2,0,19,0,0,0
EDAC,3/30/2016,0,0,0,10,48,7,44,1010.24,29.84,15,9,WSW,237,10,6.2,80,0,12,53,7,44,93,67,8,46,5,41,1,1011,29.86,1009,29.8,26,16,9,6,10,6.2,0,10,6.2,0,16,0,0,0
EDAC,3/31/2016,0,0,0,,,,,,,,,Variable,-1,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,0
EDAC,4/1/2016,0,0,0,8,46,3,37,1019.25,30.1,9,6,North,7,9.6,5.9,78,0,12,53,4,39,100,47,5,41,0,32,1,1023,30.21,1014,29.95,18,12,4,2,10,6.2,0,7,4.3,0,19,0,0,0
EDAC,4/2/2016,0,0,0,8,46,1,34,1019.79,30.12,14,9,SE,130,10,6.2,63,0,16,60,1,33,93,29,5,41,-2,28,0,1023,30.21,1016,30.01,24,15,9,6,10,6.2,0,10,6.2,0,18,0,0,0
EDAC,4/3/2016,0,0,0,14,57,8,46,1012.35,29.9,5,3,WSW,255,,,58,0,20,68,8,46,87,49,10,50,6,43,0,1014,29.95,1011,29.86,11,7,2,1,,,0,,,7,8,0,0,0
EDAC,4/4/2016,0,0,0,15,59,12,53,1007.5,29.76,6,4,WSW,258,,,74,0,20,68,10,50,100,52,14,57,9,48,0,1008,29.77,1007,29.74,13,8,2,1,,,0,,,9,6,0,0,0
EDAC,4/5/2016,0,0,0,16,60,11,52,1005.58,29.7,7,4,WNW,287,10,6.2,67,0,21,69,11,51,94,59,13,55,10,50,0,1006,29.71,1005,29.68,22,14,4,2,10,6.2,0,10,6.2,10,5,0,0,0
EDAC,4/6/2016,0,0,0,,,,,,,,,Variable,-1,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,0
EDAC,4/7/2016,0,0,0,10,48,5,41,1009.8,29.82,9,5,WSW,238,9.8,6.1,77,0,12,53,7,44,100,58,8,46,3,37,1,1010,29.83,1009,29.8,26,16,6,4,10,6.2,0,6,3.7,0,16,0,0,0
EDAC,4/8/2016,0,0,0,8,47,1,34,1011.36,29.87,5,3,WNW,299,10,6.2,54,0,13,55,4,39,93,38,4,39,-2,28,0,1013,29.92,1010,29.83,9,6,2,1,10,6.2,0,10,6.2,0,18,0,0,0
EDAC,4/9/2016,0,0,0,10,48,2,35,1009.4,29.81,8,5,ENE,62,,,53,0,12,53,7,44,81,44,4,39,0,32,0,1010,29.83,1009,29.8,17,10,2,1,,,0,,,0,16,0,0,0
EDAC,4/10/2016,0,0,0,8,45,4,39,1014.8,29.97,8,5,ENE,70,10,6.2,75,0,9,48,6,42,93,71,5,41,3,37,0,1016,30.01,1013,29.92,17,10,4,2,10,6.2,0,10,6.2,0,20,0,0,0
EDAC,4/11/2016,0,0,0,8,46,6,43,1014.62,29.97,9,6,NE,46,10,6.2,78,0,11,51,6,42,100,71,7,45,5,41,0,1016,30.01,1013,29.92,17,10,6,4,10,6.2,0,9,5.6,0,18,0,0,0
EDAC,4/12/2016,0,0,0,12,52,8,46,1010.58,29.85,7,4,WSW,248,9.2,5.7,70,1,18,64,5,41,100,52,10,50,5,41,1,1012,29.89,1009,29.8,24,15,2,1,10,6.2,0,6,3.7,2,12,0,0,0
EDAC,4/13/2016,0,0,0,,,,,,,,,Variable,-1,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,0
EDAC,4/14/2016,0,0,0,11,52,7,45,1011.08,29.86,13,8,NW,304,9.8,6.1,80,0,13,55,9,48,93,67,10,50,5,41,1,1013,29.92,1009,29.8,26,16,2,1,10,6.2,0,9,5.6,2,14,0,0,0
EDAC,4/15/2016,0,0,0,12,54,7,45,1005.46,29.69,16,10,SSW,202,9.9,6.1,76,0,15,59,9,48,100,59,10,50,5,41,1,1007,29.74,1004,29.65,32,20,9,6,10,6.2,0,8,5,4,12,0,0,0
EDAC,4/16/2016,0,0,0,12,54,9,48,1003.62,29.64,15,9,SW,222,10,6.2,80,0,14,57,11,51,94,67,11,52,7,45,1,1004,29.65,1003,29.62,30,18,9,6,10,6.2,0,10,6.2,4,11,0,0,0
EDAC,4/17/2016,0,0,0,8,45,6,42,1010.1,29.83,8,5,NW,312,9.2,5.7,87,0,8,46,7,44,100,81,7,45,5,41,1,1013,29.92,1006,29.71,18,12,2,1,10,6.2,0,5,3.1,0,20,0,0,0
EDAC,4/18/2016,0,0,0,10,48,2,36,1019.58,30.11,7,4,WNW,297,10,6.2,58,0,13,55,6,42,87,44,4,39,0,32,0,1020,30.12,1019,30.09,20,13,2,1,10,6.2,0,10,6.2,0,16,0,0,0
EDAC,4/19/2016,0,0,0,9,48,3,38,1022.96,30.21,17,10,West,274,10,6.2,63,0,11,51,7,44,76,58,4,39,3,37,0,1023,30.21,1022,30.18,26,16,11,7,10,6.2,0,10,6.2,0,18,0,0,0
EDAC,4/20/2016,0,0,0,,,,,,,,,Variable,-1,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,0,0
EDAC,4/21/2016,0,0,0,10,50,3,38,1024.04,30.24,5,3,WNW,301,,,56,0,16,60,4,39,93,36,4,39,1,34,0,1027,30.33,1019,30.09,9,6,2,1,,,0,,,0,16,0,0,0
